Ano;Semestre;CodConcelho;Concelho;Potencia de Ligacao (kW);Processos Concluidos (#)
2022;2;1418;Tomar;625.68;155.0
2022;2;409;Torre de Moncorvo;112.32;18.0
2022;2;1419;Torres Novas;393.07000000000005;210.0
2022;2;1315;Valongo;1219.27;236.0
2022;2;713;Viana do Alentejo;160.64;17.0
2022;2;214;Vidigueira;32.93;16.0
2022;2;1114;Vila Franca de Xira;1751.6899999999996;126.0
2022;2;816;Vila Real de Santo António;303.99;45.0
2022;2;511;Vila Velha de Rodão;84.74;39.0
2022;2;313;Vila Verde;1183.33;245.0
2022;2;714;Vila Viçosa;23.7;11.0
2022;2;510;Vila de Rei;6.5;3.0
2022;2;815;Vila do Bispo;100.95000000000002;15.0
2022;2;412;Vinhais;121.04999999999998;24.0
2022;2;1823;Viseu;1466.35;437.0
2022;2;705;Évora;604.5600000000001;144.0
2022;2;110;Ílhavo;2327.7599999999998;139.0
2023;1;1702;Boticas;109.78;28.0
2023;1;303;Braga;2600.72;976.0
2023;1;1007;Castanheira de Pêra;9.53;7.0
2023;1;1205;Castelo de Vide;19.439999999999998;11.0
2023;1;1408;Constância;865.2700000000001;29.0
2023;1;1409;Coruche;269.15999999999997;86.0
2023;1;1207;Elvas;216.87;48.0
2023;1;306;Esposende;413.03000000000003;224.0
2023;1;108;Estarreja;467.20000000000005;113.0
2023;1;805;Faro;732.9300000000001;261.0
2023;1;1303;Felgueiras;1220.95;310.0
2023;1;208;Ferreira do Alentejo;150.35;27.0
2023;1;605;Figueira da Foz;1570.33;257.0
2023;1;1603;Melgaço;103.28;31.0
2024;1;405;Macedo de Cavaleiros;198.88;43.0
2024;1;1109;Mafra;1180.1699999999998;240.0
2024;1;908;Manteigas;0.0;1.0
2024;1;1307;Marco de Canaveses;755.0;171.0
2024;1;1010;Marinha Grande;1012.76;119.0
2024;1;1210;Marvão;13.040000000000001;4.0
2024;1;1308;Matosinhos;1968.7999999999997;170.0
2024;1;1413;Mação;343.85;30.0
2024;1;1704;Mesão Frio;7.21;5.0
2024;1;608;Mira;389.34999999999997;41.0
2024;1;609;Miranda do Corvo;167.85999999999999;41.0
2024;1;1807;Moimenta da Beira;181.11;45.0
2024;1;1506;Moita;291.66;76.0
2024;1;1705;Mondim de Basto;71.00999999999999;25.0
2024;1;1706;Montalegre;103.64;33.0
2024;1;1507;Montijo;929.79;95.0
2024;1;708;Mourão;77.34;15.0
2024;1;112;Murtosa;120.25999999999999;24.0
2024;1;209;Mértola;23.770000000000003;11.0
2024;1;1212;Nisa;111.08;21.0
2024;1;1110;Oeiras;2143.4;150.0
2024;1;810;Olhão;334.75;85.0
2024;1;113;Oliveira de Azeméis;1155.44;207.0
2024;1;1810;Oliveira de Frades;810.13;44.0
2024;1;115;Ovar;1706.62;129.0
2024;1;1811;Penalva do Castelo;106.82;30.0
2024;1;1812;Penedono;55.370000000000005;16.0
2024;1;614;Penela;61.97;14.0
2024;1;1014;Peniche;689.8599999999999;61.0
2024;1;910;Pinhel;153.68;13.0
2024;1;811;Portimão;806.1800000000001;101.0
2024;1;309;Póvoa de Lanhoso;434.31;81.0
2024;1;1414;Rio Maior;1032.58;93.0
2024;1;1711;Santa Marta de Penaguião;36.169999999999995;22.0
2024;1;1416;Santarém;2344.89;193.0
2024;1;1314;Santo Tirso;862.0699999999999;171.0
2024;1;509;Sertã;158.74;45.0
2024;1;117;Sever do Vouga;265.01;53.0
2024;1;1513;Sines;408.78999999999996;31.0
2024;1;1112;Sobral de Monte Agraço;631.42;15.0
2024;1;812;São Brás de Alportel;261.15;51.0
2024;1;1816;São Pedro do Sul;186.14;93.0
2024;1;814;Tavira;373.84999999999997;71.0
2024;1;310;Terras do Bouro;49.71000000000001;21.0
2024;1;1821;Tondela;665.7;86.0
2024;1;409;Torre de Moncorvo;51.43000000000001;19.0
2024;1;1318;Trofa;723.54;79.0
2024;1;616;Tábua;734.34;46.0
2024;1;713;Viana do Alentejo;468.29;37.0
2024;1;1609;Viana do Castelo;2050.66;224.0
2024;1;1114;Vila Franca de Xira;400.32000000000005;84.0
2024;1;1420;Vila Nova da Barquinha;45.28;31.0
2024;1;1610;Vila Nova de Cerveira;58.94;18.0
2024;1;1714;Vila Real;690.6600000000001;184.0
2024;1;313;Vila Verde;564.1100000000001;157.0
2024;1;411;Vimioso;97.17;12.0
2024;1;1823;Viseu;1584.96;326.0
2024;1;314;Vizela;525.8299999999999;85.0
2024;1;110;Ílhavo;981.93;91.0
2021;2;615;Soure;72.75000000000001;55.0
2021;2;812;São Brás de Alportel;162.84000000000003;48.0
2021;2;814;Tavira;142.73;47.0
2021;2;913;Trancoso;64.55000000000001;21.0
2021;2;616;Tábua;56.50000000000001;33.0
2021;2;1608;Valença;20.73;16.0
2021;2;1712;Valpaços;139.63;60.0
2021;2;214;Vidigueira;5.27;9.0
2021;2;1420;Vila Nova da Barquinha;36.47;33.0
2022;1;802;Alcoutim;2.1;2.0
2022;1;1501;Alcácer do Sal;65.08;29.0
2022;1;1101;Alenquer;1217.22;134.0
2022;1;1701;Alijó;60.61;22.0
2022;1;1503;Almada;1158.6599999999999;438.0
2022;1;902;Almeida;102.79;18.0
2022;1;301;Amares;181.56;79.0
2022;1;1203;Avis;23.439999999999998;12.0
2022;1;1004;Batalha;376.29999999999995;89.0
2022;1;703;Borba;79.55;16.0
2022;1;303;Braga;2422.74;508.0
2022;1;402;Bragança;555.52;151.0
2022;1;304;Cabeceiras de Basto;83.58999999999999;37.0
2022;1;1006;Caldas da Rainha;432.91;128.0
2022;1;602;Cantanhede;703.59;145.0
2022;1;1406;Cartaxo;300.39000000000004;72.0
2022;1;1205;Castelo de Vide;36.55;21.0
2022;1;1803;Castro Daire;146.1;54.0
2022;1;1703;Chaves;610.45;153.0
2022;1;1408;Constância;20.450000000000003;14.0
2022;1;503;Covilhã;1331.1199999999994;119.0
