city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Porto,41.1621,-8.6220,Portugal,PT,Porto,admin,1278210,237591
Lisbon,38.7253,-9.1500,Portugal,PT,Lisboa,primary,548703,548703
Aves,41.4400,-8.3000,Portugal,PT,Porto,,425411,425411
Sintra,38.7992,-9.3883,Portugal,PT,Lisboa,minor,377835,377835
Vila Nova de Gaia,41.1333,-8.6167,Portugal,PT,Porto,minor,302295,302295
Cascais,38.7000,-9.4167,Portugal,PT,Lisboa,minor,214158,214158
Loures,38.8333,-9.1667,Portugal,PT,Lisboa,minor,201632,201632
Seixal,38.6500,-9.1000,Portugal,PT,Setúbal,minor,184269,184269
Braga,41.5503,-8.4200,Portugal,PT,Braga,admin,181494,181494
Almada,38.6803,-9.1583,Portugal,PT,Setúbal,minor,177268,177268
Matosinhos,41.1833,-8.7000,Portugal,PT,Porto,minor,175478,175478
Amadora,38.7333,-9.2333,Portugal,PT,Lisboa,minor,175136,175136
Oeiras,38.6833,-9.3167,Portugal,PT,Lisboa,minor,171802,171802
Gondomar,41.1500,-8.5333,Portugal,PT,Porto,minor,168027,168027
Guimarães,41.4500,-8.3000,Portugal,PT,Braga,minor,158124,158124
Odivelas,38.7903,-9.1797,Portugal,PT,Lisboa,minor,144549,144549
Coimbra,40.2028,-8.4139,Portugal,PT,Coimbra,admin,143396,143396
Vila Franca de Xira,38.9500,-8.9833,Portugal,PT,Lisboa,minor,136886,136886
Maia,41.2333,-8.6167,Portugal,PT,Porto,minor,135306,135306
Famalicão,41.4000,-8.5167,Portugal,PT,Braga,minor,133832,133832
Leiria,39.7500,-8.8000,Portugal,PT,Leiria,admin,126897,126897
Barcelos,41.5167,-8.6167,Portugal,PT,Braga,minor,120391,120391
Viseu,40.6667,-7.9167,Portugal,PT,Viseu,admin,99274,99274
Viana do Castelo,41.7000,-8.8333,Portugal,PT,Viana do Castelo,admin,88725,88725
Aveiro,40.6333,-8.6500,Portugal,PT,Aveiro,admin,78450,78450
Barreiro,38.6667,-9.0667,Portugal,PT,Setúbal,minor,78345,78345
Queluz,38.7514,-9.2664,Portugal,PT,Lisboa,,78273,78273
Ponta Delgada,37.7411,-25.6806,Portugal,PT,Azores,admin,68809,68809
Faro,37.0161,-7.9350,Portugal,PT,Faro,admin,64560,64560
Santarém,39.2339,-8.6861,Portugal,PT,Santarém,admin,62200,62200
Castelo Branco,39.8167,-7.5000,Portugal,PT,Castelo Branco,admin,56109,56109
Ovar,40.8667,-8.6333,Portugal,PT,Aveiro,minor,55398,55398
Évora,38.5667,-7.9000,Portugal,PT,Évora,admin,53591,53591
Vila Real,41.2958,-7.7461,Portugal,PT,Vila Real,admin,51850,51850
