city;city_ascii;lat;lng
Lisbon;Lisbon;38.7253;-9.1500
Aves;Aves;41.4400;-8.3000
Sintra;Sintra;38.7992;-9.3883
Vila Nova de Gaia;Vila Nova de Gaia;41.1333;-8.6167
Cascais;Cascais;38.7000;-9.4167
Loures;Loures;38.8333;-9.1667
Seixal;Seixal;38.6500;-9.1000
Braga;Braga;41.5503;-8.4200
Almada;Almada;38.6803;-9.1583
Matosinhos;Matosinhos;41.1833;-8.7000
Amadora;Amadora;38.7333;-9.2333
Oeiras;Oeiras;38.6833;-9.3167
Gondomar;Gondomar;41.1500;-8.5333
Guimarães;Guimaraes;41.4500;-8.3000
Odivelas;Odivelas;38.7903;-9.1797
Coimbra;Coimbra;40.2028;-8.4139
Vila Franca de Xira;Vila Franca de Xira;38.9500;-8.9833
Maia;Maia;41.2333;-8.6167
Famalicão;Famalicao;41.4000;-8.5167
Leiria;Leiria;39.7500;-8.8000
Barcelos;Barcelos;41.5167;-8.6167
Viseu;Viseu;40.6667;-7.9167
Valongo;Valongo;41.1833;-8.5000
Viana do Castelo;Viana do Castelo;41.7000;-8.8333
Paredes;Paredes;41.2064;-8.3333
Vila do Conde;Vila do Conde;41.3528;-8.7444
Torres Vedras;Torres Vedras;39.0833;-9.2667
Aveiro;Aveiro;40.6333;-8.6500
Barreiro;Barreiro;38.6667;-9.0667
Queluz;Queluz;38.7514;-9.2664
Mafra;Mafra;38.9411;-9.3319
Penafiel;Penafiel;41.2060;-8.2840
Santo Tirso;Santo Tirso;41.3333;-8.4667
Loulé;Loule;37.1500;-8.0000
Ponta Delgada;Ponta Delgada;37.7411;-25.6806
Moita;Moita;38.6500;-8.9833
Faro;Faro;37.0161;-7.9350
Póvoa de Varzim;Povoa de Varzim;41.3800;-8.7608
Palmela;Palmela;38.5667;-8.9000
Santarém;Santarem;39.2339;-8.6861
Figueira da Foz;Figueira da Foz;40.1500;-8.8500
Felgueiras;Felgueiras;41.3667;-8.2000
Paços de Ferreira;Pacos de Ferreira;41.2667;-8.4000
Amarante;Amarante;41.2703;-8.0808
Castelo Branco;Castelo Branco;39.8167;-7.5000
Portimão;Portimao;37.1369;-8.5383
Ovar;Ovar;40.8667;-8.6333
Pombal;Pombal;39.9161;-8.6281
Alcobaça;Alcobaca;39.5528;-8.9778
Évora;Evora;38.5667;-7.9000
Marco de Canavezes;Marco de Canavezes;41.1833;-8.1500
Vila Real;Vila Real;41.2958;-7.7461
Covilhã;Covilha;40.2833;-7.5000
Caldas da Rainha;Caldas da Rainha;39.4072;-9.1358
Montijo;Montijo;38.6833;-8.9000
Rio Tinto;Rio Tinto;41.1780;-8.5600
Fafe;Fafe;41.4500;-8.1667
Sesimbra;Sesimbra;38.4437;-9.0996
Amora;Amora;38.6230;-9.1200
Vila Verde;Vila Verde;41.6500;-8.4333
Águeda;Agueda;40.5744;-8.4481
Vale de Cavalos;Vale de Cavalos;38.6500;-9.1500
Lousada;Lousada;41.3000;-8.2400
Rio de Mouro;Rio de Mouro;38.7840;-9.3220
Corroios;Corroios;38.6500;-9.1500
Ourém;Ourem;39.6500;-8.5667
Olhão;Olhao;37.0260;-7.8410
Albufeira;Albufeira;37.0897;-8.2458
Ponte de Lima;Ponte de Lima;41.7667;-8.5667
Alenquer;Alenquer;39.0500;-9.0167
Santa Cruz;Santa Cruz;32.6833;-16.8000
Guarda;Guarda;40.5333;-7.3333
Chaves;Chaves;41.7406;-7.4714
Tomar;Tomar;39.6000;-8.4167
Abrantes;Abrantes;39.4633;-8.1975
Marinha Grande;Marinha Grande;39.7500;-8.9333
Trofa;Trofa;41.3500;-8.5500
Mafamude;Mafamude;41.1350;-8.6170
Ermezinde;Ermezinde;41.2170;-8.5500
Silves;Silves;37.1869;-8.4389
Torres Novas;Torres Novas;39.4667;-8.5333
Cantanhede;Cantanhede;40.3500;-8.5833
Beja;Beja;38.0333;-7.8833
Agualva;Agualva;38.7700;-9.2988
Câmara de Lobos;Camara de Lobos;32.6953;-16.9781
Angra do Heroísmo;Angra do Heroismo;38.6556;-27.2194
Bragança;Braganca;41.8067;-6.7589
Esposende;Esposende;41.5333;-8.7833
Ribeira Grande;Ribeira Grande;37.8225;-25.5181
Ílhavo;Ilhavo;40.6000;-8.6667
Lagos;Lagos;37.1028;-8.6728
Espinho;Espinho;41.0000;-8.6333
Charneca;Charneca;38.6300;-9.2000
Santiago do Cacém;Santiago do Cacem;38.0167;-8.7000
Perafita;Perafita;41.2240;-8.6980
Funchal;Funchal;32.6500;-16.9167
Póvoa de Santa Iria;Povoa de Santa Iria;38.8620;-9.0690
Fundão;Fundao;40.1333;-7.5000
Anadia;Anadia;40.4408;-8.4350
Benavente;Benavente;38.9667;-8.8000
Senhora da Hora;Senhora da Hora;41.1860;-8.6510
Tondela;Tondela;40.5167;-8.0833
Arrentela;Arrentela;38.6270;-9.1030
Massamá;Massama;38.7570;-9.2750
Águas Santas;Aguas Santas;41.2090;-8.5890
Estarreja;Estarreja;40.7500;-8.5667
Lamego;Lamego;41.1008;-7.8100
Peniche;Peniche;39.3500;-9.3667
Estoril;Estoril;38.7042;-9.3983
Montemor-o-Velho;Montemor-o-Velho;40.1667;-8.6833
Tavira;Tavira;37.1167;-7.6500
Odemira;Odemira;37.5833;-8.6333
Lourinhã;Lourinha;39.2333;-9.3000
Albergaria-a-Velha;Albergaria-a-Velha;40.6933;-8.4811
