Concelho;Correlacao_ProcessosConcluidos_PIB
Abrantes;0,471446429
Aguiar da Beira;0,83223972
Alandroal;0,682048293
Albergaria-a-Velha;0,993399268
Albufeira;0,541040824
Alcanena;0,984738142
Alcobaça;0,973985373
Alcochete;0,2353158
Alcoutim;0,866025404
Alcácer do Sal;0,283024677
Alenquer;0,899769688
Alfândega da Fé;0,90419443
Alijó;0,60156611
Aljezur;-0,821994937
Aljustrel;1
Almada;0,995645843
Almeida;0,960768923
Almeirim;0,995870595
Almodôvar;0
Alpiarça;0,114707867
Alter do Chão;-0,5
Alvaiázere;0,5
Alvito;-0,944911183
Amadora;-0,671931944
Amarante;0,90419443
Amares;-0,660025001
Anadia;0,910447761
Ansião;-0,277350098
Arcos de Valdevez;0,993399268
Arganil;0,785714286
Armamar;0,45895686
Arouca;0,936765907
Arraiolos;0,654653671
Arronches;-1
Arruda dos Vinhos;-0,90419443
Aveiro;0,873331638
Avis;0,5
Azambuja;0,935856728
Baião;1
Barcelos;0,750955967
Barrancos;1
Barreiro;0,263794672
Batalha;0,698853032
Beja;0,996615896
Belmonte;0,693375245
Benavente;0,56362148
Bombarral;0,948140813
Borba;0,693375245
Boticas;0,951101277
Braga;0,198069142
Bragança;0,671931944
Cadaval;
Caldas da Rainha;0,702215411
Caminha;0,877338483
Campo Maior;0,777713771
Cantanhede;0,968300631
Carrazeda de Ansiães;-0,277350098
Carregal do Sal;0,06401844
Cartaxo;0,970725343
Cascais;0,907841299
Castanheira de Pêra;0,397359707
Castelo Branco;0,710071429
Castelo de Paiva;0,743047873
Castelo de Vide;0,447478454
Castro Daire;0,983044732
Castro Marim;0,267827834
Castro Verde;-0,997405962
Celorico da Beira;-0,785714286
Chamusca;-0,866025404
Chaves;0,914807404
Cinfães;0,944911183
Coimbra;0,244055458
Condeixa-a-Nova;-0,31701473
Constância;0,981980506
Coruche;0,866025404
Covilhã;-0,970725343
Crato;-0,188982237
Cuba;-0,277350098
Elvas;0,359210604
Entroncamento;-0,802955069
Espinho;0,97622104
Esposende;0,66284898
Estarreja;0,774403713
Estremoz;0,188982237
Fafe;0,704210555
Faro;0,114707867
Felgueiras;0,944911183
Ferreira do Alentejo;0,409644015
Ferreira do Zêzere;0,802955069
Figueira da Foz;0,996615896
Figueira de Castelo Rodrigo;0,5
Figueiró dos Vinhos;0,995870595
Fornos de Algodres;0,693375245
Freixo de Espada à Cinta;-1
Fronteira;0,142857143
Fundão;0,267827834
Gavião;-0,114707867
Golegã;0,866025404
Gondomar;0,672701094
Gouveia;0,89625816
Grândola;0,802955069
Guarda;-0,994191626
Guimarães;0,953619723
Góis;0,956324716
Idanha-a-Nova;1
Lagos;0,866025404
Lamego;0,836784004
Leiria;0,966382739
Lisboa;0,781094299
Loulé;0,155542754
Loures;0,99904
Lourinhã;0,810884854
Lousada;0,647772024
Lousã;-0,5
Macedo de Cavaleiros;0,834675065
Mafra;-0,989498584
Maia;0,907127959
Mangualde;0,975417269
Manteigas;0,755928946
Marco de Canaveses;0,755928946
