Trimestre;Concelho;Escalão de potência instalada (kW);Número de instalacões;Potência total instalada UPAC (kW);CodDistrito;CodDistritoConcelho;Distrito
2024T1;Sesimbra;]0  4];2380;3058.44;15;1511;Setúbal
2024T1;Lisboa;]0  4];966;1597.77;11;1106;Lisboa
2024T1;Caldas da Rainha;]4  20.7];117;1080.18;10;1006;Leiria
2024T1;Vila Real de Santo António;]30  1000];6;564.0;08;0816;Faro
2024T1;Vizela;]30  1000];16;2399.55;03;0314;Braga
2024T1;Chamusca;]20.7  30];6;171.34;14;1407;Santarém
2024T1;Vila Nova de Paiva;]30  1000];4;344.25;18;1822;Viseu
2024T1;Vouzela;]30  1000];11;1326.05;18;1824;Viseu
2024T1;Armamar;]30  1000];9;793.52;18;1801;Viseu
2024T1;Vila Velha de Ródão;]4  20.7];3;30.0;05;0511;Castelo Branco
2024T1;Alandroal;]20.7  30];7;191.79;07;0701;Évora
2024T1;Miranda do douro;]30  1000];6;704.95;04;0406;Bragança
2024T1;Chaves;]30  1000];16;1959.24;17;1703;Vila Real
2024T1;Olhão;]30  1000];11;1428.16;08;0810;Faro
2024T1;Mirandela;]20.7  30];7;189.07;04;0407;Bragança
2024T1;Arronches;]4  20.7];8;76.44;12;1202;Portalegre
2024T1;Estremoz;]20.7  30];5;130.2;07;0704;Évora
2024T1;Cartaxo;]30  1000];9;1146.17;14;1406;Santarém
2024T1;Castanheira de Pêra;]30  1000];1;249.0;10;1007;Leiria
2024T1;Benavente;]30  1000];25;4381.28;14;1405;Santarém
2024T1;Ansião;]20.7  30];2;59.44;10;1003;Leiria
2024T1;Alvito;]4  20.7];3;16.13;02;0203;Beja
2024T1;Miranda do Corvo;]20.7  30];2;56.4;06;0609;Coimbra
2024T1;Faro;]20.7  30];11;300.4;08;0805;Faro
2024T1;Lourinhã;]20.7  30];11;293.63;11;1108;Lisboa
2024T1;Monção;]20.7  30];3;80.2;16;1604;Viana do Castelo
2024T1;Valpaços;]20.7  30];3;80.11;17;1712;Vila Real
2024T1;Vagos;]20.7  30];6;175.7;01;0118;Aveiro
2024T1;Sabugal;]20.7  30];3;77.68;09;0911;Guarda
2024T1;Santa Comba Dão;]20.7  30];4;105.86;18;1814;Viseu
2024T1;Valpaços;]30  1000];4;249.48;17;1712;Vila Real
2024T1;Figueira de Castelo Rodrigo;]20.7  30];4;95.44;09;0904;Guarda
2024T1;Penalva do Castelo;]30  1000];4;234.32;18;1811;Viseu
2024T1;Celorico de Basto;]20.7  30];6;165.0;03;0305;Braga
2024T1;Sabrosa;]20.7  30];1;25.2;17;1710;Vila Real
2024T1;Alpiarça;]30  1000];8;948.66;14;1404;Santarém
2024T1;Cabeceiras de Basto;]30  1000];3;130.86;03;0304;Braga
2024T1;Valongo;> 1000;1;1654.7;13;1315;Porto
2024T1;Marvão;]20.7  30];2;42.88;12;1210;Portalegre
2024T1;Arcos de Valdevez;]20.7  30];2;60.0;16;1601;Viana do Castelo
2024T1;Alpiarça;]20.7  30];3;80.52;14;1404;Santarém
2024T1;Tarouca;]20.7  30];2;55.0;18;1820;Viseu
2024T1;Carrazeda de Ansiães;]30  1000];1;61.0;04;0403;Bragança
2024T1;Almodôvar;]20.7  30];1;28.76;02;0202;Beja
2024T1;Castanheira de Pêra;]4  20.7];1;5.0;10;1007;Leiria
2024T1;Alfândega da Fé;]20.7  30];1;25.0;04;0401;Bragança
2024T1;Manteigas;]30  1000];1;43.5;09;0908;Guarda
2024T1;Fronteira;]30  1000];2;120.0;12;1208;Portalegre
2023T4;Vizela;]0  4];714;773.78;03;0314;Braga
2023T4;Castelo Branco;]4  20.7];90;790.22;05;0502;Castelo Branco
2023T4;Ponte de Lima;]20.7  30];17;465.4;16;1607;Viana do Castelo
2023T4;Covilhã;]20.7  30];17;439.38;05;0503;Castelo Branco
2023T4;Lousada;]0  4];1111;1448.43;13;1305;Porto
2023T4;Ponte de Lima;]0  4];918;1512.91;16;1607;Viana do Castelo
2023T4;Monção;]4  20.7];27;286.27;16;1604;Viana do Castelo
2023T4;Vila do Conde;]4  20.7];156;1877.06;13;1316;Porto
2023T4;Peniche;]4  20.7];19;186.3;10;1014;Leiria
2023T4;Cantanhede;]4  20.7];58;577.78;06;0602;Coimbra
2023T4;Santarém;]0  4];1593;2130.62;14;1416;Santarém
2023T4;Paredes de Coura;]4  20.7];11;108.15;16;1605;Viana do Castelo
2023T4;Figueira de Castelo Rodrigo;]0  4];130;234.67;09;0904;Guarda
2023T4;Lagos;]0  4];617;1388.4;08;0807;Faro
2023T4;Ourém;]0  4];818;1477.66;14;1421;Santarém
2023T4;Oeiras;]0  4];1427;2320.62;11;1110;Lisboa
2023T4;Penalva do Castelo;]4  20.7];10;86.61;18;1811;Viseu
2023T4;Sabrosa;]0  4];152;210.63;17;1710;Vila Real
2023T4;Oliveira do Hospital;]20.7  30];7;184.47;06;0611;Coimbra
2023T4;Vila Nova de Paiva;]0  4];126;221.77;18;1822;Viseu
2023T4;Monchique;]0  4];71;135.16;08;0809;Faro
2023T4;Seixal;]20.7  30];21;545.17;15;1510;Setúbal
2023T4;Almodôvar;]0  4];96;155.21;02;0202;Beja
2023T4;Manteigas;]0  4];37;63.95;09;0908;Guarda
2023T4;Ovar;]0  4];1204;1942.71;01;0115;Aveiro
2023T4;Mangualde;]0  4];410;694.08;18;1806;Viseu
2023T4;Bombarral;]4  20.7];28;271.55;10;1005;Leiria
2023T4;Esposende;]4  20.7];51;510.57;03;0306;Braga
2023T4;Benavente;]0  4];711;1107.94;14;1405;Santarém
2023T4;Amarante;]4  20.7];71;675.26;13;1301;Porto
2023T4;Elvas;]0  4];219;342.36;12;1207;Portalegre
2023T4;Alvito;]0  4];59;79.6;02;0203;Beja
2023T4;Odivelas;]0  4];1092;1539.1;11;1116;Lisboa
2023T4;Guimarães;]0  4];4488;6010.33;03;0308;Braga
2023T4;Campo Maior;]0  4];100;144.24;12;1204;Portalegre
2023T4;Seia;]4  20.7];27;265.91;09;0912;Guarda
2023T4;Vale de Cambra;]0  4];368;651.44;01;0119;Aveiro
2023T4;Vila Pouca de Aguiar;]0  4];337;500.96;17;1713;Vila Real
2023T4;Espinho;]0  4];330;552.67;01;0107;Aveiro
2023T4;Ílhavo;]30  1000];29;7481.08;01;0110;Aveiro
2023T4;Oleiros;]0  4];137;272.61;05;0506;Castelo Branco
