Região;Correlação
Alentejo Central;0,002219513
Alentejo Litoral;-0,000172584
Algarve;0,00122133
Alto Alentejo;0,001187373
Alto Minho;0,001149895
Alto Tâmega;0,000983412
Ave;0,003054502
Baixo Alentejo;0,001549126
Beira Baixa;0,000939527
Beiras e Serra da Estrela;0,00077008
Cávado;0,000959176
Douro;0,001679953
Lezíria do Tejo;0,000342452
Médio Tejo;0,001497251
Oeste;0,001919612
Região de Aveiro;0,001608372
Região de Coimbra;0,000766418
Região de Leiria;0,002206613
Terras de Trás-os-Montes;-4,02453E-05
Tâmega e Sousa;0,00182071
Viseu Dão Lafões;0,001642007
Área Metropolitana de Lisboa;0,001943625
Área Metropolitana do Porto;0,001733293
