Nível de Utilização [%];Potência instalada [kVA];Coordenadas Geográficas
40%-59%;250;40.8770485780609, -8.60309893669454
20%-39%;630;40.855701798124, -8.62711425752247
20%-39%;1000;41.5431814055132, -8.40093227930744
20%-39%;100;41.3737913583368, -8.04529775413545
20%-39%;630;40.1938048992342, -8.82182467011667
0%-19%;630;38.7525363628993, -9.20461995258575
20%-39%;1030;38.7233690005355, -9.15142523491193
20%-39%;400;38.8183061142854, -9.2145129781983
0%-19%;250;41.2074873226471, -8.61680435105293
0%-19%;630;41.201809196328, -8.44062900219141
40%-59%;100;39.25625464191, -7.37606090692556
80%-99%;50;41.7006599442302, -7.02878500748217
20%-39%;50;40.091041456543, -7.31382590975242
20%-39%;250;37.1194193949018, -8.653742656851
20%-39%;50;37.4140319973195, -8.75937371847328
20%-39%;400;38.6542663139821, -8.49502443615062
20%-39%;630;41.1026568250721, -8.553758876255
40%-59%;250;38.9064959233088, -8.62877210945904
+100%;400;38.6348885223019, -9.19721309816665
0%-19%;400;39.6333735682584, -8.66503323328693
60%-79%;400;38.6312569740315, -8.91989407000463
60%-79%;100;41.7098809580052, -8.67755820590494
20%-39%;250;40.5242185783892, -8.03434783159035
40%-59%;100;40.9391109816041, -7.5713848405832
20%-39%;250;40.5993864351039, -8.69002615086664
80%-99%;100;41.683478028032, -6.60215650626264
40%-59%;250;41.4219410118153, -8.28506101569488
60%-79%;100;40.0782899237194, -8.59631769050467
40%-59%;250;40.1481198193229, -8.83916783595523
40%-59%;630;38.7444958260679, -9.12107147367546
+100%;400;41.5353449908901, -8.45994086134177
80%-99%;50;40.2609788297934, -8.15141001277844
40%-59%;630;40.2739148203837, -8.52284686058581
40%-59%;100;40.2413730053841, -7.49742075711391
20%-39%;630;39.8210295411442, -7.49240689951381
40%-59%;630;37.101949130027, -8.35845208536712
60%-79%;100;39.5570700525964, -8.51545083453022
20%-39%;250;42.1131333972404, -8.25359757221536
40%-59%;100;41.9321211338736, -8.53945402455558
20%-39%;100;40.9384289115983, -7.48690908447513
0%-19%;250;40.9024408415636, -7.50434315609635
0%-19%;630;40.9862206584754, -7.62178486336468
60%-79%;250;40.6211079523888, -8.65593645675739
80%-99%;32;40.9018609532889, -8.23842002792964
20%-39%;630;40.6171260776318, -8.62363837100232
0%-19%;100;39.7709773700676, -8.43544282543736
80%-99%;100;39.6740890047113, -8.89634959399045
40%-59%;250;39.7544924122335, -8.83026159992425
20%-39%;100;38.9822552216899, -9.05874579976592
80%-99%;100;39.4949947655939, -8.85586105003401
20%-39%;400;38.7077465847815, -9.1687200801703
20%-39%;630;39.0558720283392, -9.00657645621168
20%-39%;100;39.3607268557542, -9.40699836352396
20%-39%;160;39.1455435129766, -9.28266913061019
40%-59%;630;41.1509540959072, -8.60163874273887
60%-79%;160;38.0070780796525, -7.81038908822091
60%-79%;50;38.4360602286432, -7.35118853935484
20%-39%;100;42.0023070627789, -8.50969638584928
0%-19%;630;41.6985018652815, -8.8081940476858
40%-59%;630;40.5753007179912, -8.4470331748464
20%-39%;630;41.5390556607474, -6.96157206500848
40%-59%;100;40.2343058052527, -8.75264128820504
80%-99%;100;40.4454730676594, -7.737058817398
40%-59%;100;39.17884440874, -9.12530886804958
40%-59%;50;41.2270847208384, -8.02155578180144
60%-79%;25;38.2323170203839, -7.91747994947033
60%-79%;250;38.1118704553014, -8.35929775905042
20%-39%;630;41.5347707974196, -8.45025843107145
60%-79%;100;41.1069710704581, -7.07405991747022
40%-59%;250;39.8093769341501, -8.19349980118325
20%-39%;250;40.2716717737746, -7.48666310895949
40%-59%;400;37.0955238251255, -8.18146705156917
40%-59%;630;37.0795256176285, -8.28008871482961
20%-39%;250;37.0263164350428, -7.93307850343378
40%-59%;400;39.4072911762669, -8.47994955441856
20%-39%;100;39.619098703978, -8.37674403707391
60%-79%;100;38.690221865602, -8.6849810891222
80%-99%;100;40.3802478537692, -8.38016608478257
60%-79%;250;40.8639070480289, -8.50824808898613
40%-59%;100;41.4814711717491, -8.18764745197178
20%-39%;100;41.504308188009, -6.95159129098304
40%-59%;50;40.1402897122786, -8.20154783604784
40%-59%;400;39.8159413552525, -8.3783614096416
40%-59%;630;38.7051168804823, -9.4319906312292
