Região;Correlacao_ProcessosConcluidos_PIB
Alentejo Central;-0,024794074
Alentejo Litoral;0,090976796
Algarve;0,059877504
Alto Alentejo;0,030806725
Alto Minho;0,150116931
Alto Tâmega;0,232583305
Ave;0,122895342
Baixo Alentejo;0,115309956
Beira Baixa;0,119238734
Beiras e Serra da Estrela;0,110257621
Cávado;0,0510637
Douro;0,268085296
Lezíria do Tejo;0,130217578
Médio Tejo;0,170257774
Oeste;0,109792235
Região de Aveiro;0,221843181
Região de Coimbra;0,085276446
Região de Leiria;0,07897564
Terras de Trás-os-Montes;0,107758802
Tâmega e Sousa;0,428054906
Viseu Dão Lafões;0,0892286
Área Metropolitana de Lisboa;0,042667591
Área Metropolitana do Porto;0,186372872
