Âmbito Geográfico;Concelho;Total
NUTS 2024;Portugal;49385044097
NUTS I;Continente;47761895535
NUTS II;Norte;14946047221
NUTS III;Alto Minho;1129408432
Município;Arcos de Valdevez;102989996
Município;Caminha;50039890
Município;Melgaço;23019218
Município;Monção;67123945
Município;Paredes de Coura;26411213
Município;Ponte da Barca;25977534
Município;Ponte de Lima;116685092
Município;Valença;55938318
Município;Viana do Castelo;598436738
Município;Vila Nova de Cerveira;62786487
NUTS III;Cávado;1483014183
Município;Amares;47416251
Município;Barcelos;462120369
Município;Braga;709033935
Município;Esposende;115789370
Município;Terras de Bouro;19718249
Município;Vila Verde;128936009
NUTS III;Ave;2051575767
Município;Cabeceiras de Basto;35274153
Município;Fafe;148126952
Município;Guimarães;761414700
Município;Mondim de Basto;15416728
Município;Póvoa de Lanhoso;58989519
Município;Vieira do Minho;45228985
Município;Vila Nova de Famalicão;900501447
Município;Vizela;86623284
NUTS III;Área Metropolitana do Porto;7859462317
Município;Arouca;56890177
Município;Espinho;91878182
Município;Gondomar;388098390
Município;Maia;1307247719
Município;Matosinhos;663361514
Município;Oliveira de Azeméis;378202729
Município;Paredes;261273417
Município;Porto;1213469028
Município;Póvoa de Varzim;207297708
Município;Santa Maria da Feira;652436202
Município;Santo Tirso;424171229
Município;São João da Madeira;114270728
Município;Trofa;206123267
Município;Vale de Cambra;103725356
Município;Valongo;258483226
Município;Vila do Conde;367901510
Município;Vila Nova de Gaia;1164631936
NUTS III;Alto Tâmega e Barroso;280981837
Município;Boticas;18563661
Município;Chaves;125300546
Município;Montalegre;24352587
Município;Ribeira de Pena;17490283
Município;Valpaços;41994148
Município;Vila Pouca de Aguiar;53280613
NUTS III;Tâmega e Sousa;1215849312
Município;Amarante;128384007
Município;Baião;37098603
Município;Castelo de Paiva;45432025
Município;Celorico de Basto;46187632
Município;Cinfães;33049899
Município;Felgueiras;189669151
Município;Lousada;116689069
Município;Marco de Canaveses;150871419
Município;Paços de Ferreira;233229852
Município;Penafiel;212462730
Município;Resende;22774925
NUTS III;Douro;577504694
Município;Alijó;32115694
Município;Armamar;25521624
Município;Carrazeda de Ansiães;15073492
Município;Freixo de Espada à Cinta;10011225
Município;Lamego;81287777
Município;Mesão Frio;7777503
Município;Moimenta da Beira;35370723
Município;Murça;12924045
Município;Penedono;6654331
Município;Peso da Régua;40657279
Município;Sabrosa;17230027
Município;Santa Marta de Penaguião;13338466
Município;São João da Pesqueira;18866376
Município;Sernancelhe;18256064
Município;Tabuaço;14022611
Município;Tarouca;21532630
Município;Torre de Moncorvo;22298092
Município;Vila Nova de Foz Côa;23335887
Município;Vila Real;161230849
NUTS III;Terras de Trás-os-Montes;348250679
Município;Alfândega da Fé;11689409
Município;Bragança;122654411
Município;Macedo de Cavaleiros;40415217
Município;Miranda do Douro;26923995
Município;Mirandela;69455815
Município;Mogadouro;26539182
Município;Vila Flor;21780287
Município;Vimioso;10525081
Município;Vinhais;18267282
NUTS II;Centro;10507380792
NUTS III;Região de Aveiro;2984237661
Município;Águeda;303714234
Município;Albergaria-a-Velha;202075266
Município;Anadia;143114338
Município;Aveiro;781260038
Município;Estarreja;668282759
Município;Ílhavo;218764513
Município;Murtosa;34995433
Município;Oliveira do Bairro;150493936
Município;Ovar;345071632
Município;Sever do Vouga;34876673
Município;Vagos;101588840
NUTS III;Região de Coimbra;3124504242
Município;Arganil;55217170
Município;Cantanhede;221783213
Município;Coimbra;667357456
Município;Condeixa-a-Nova;49454525
Município;Figueira da Foz;1448411191
Município;Góis;10768384
Município;Lousã;58343587
Município;Mealhada;103579045
Município;Mira;67447319
Município;Miranda do Corvo;26547977
Município;Montemor-o-Velho;60341947
Município;Mortágua;52488714
Município;Oliveira do Hospital;100371451
Município;Pampilhosa da Serra;11623274
Município;Penacova;39277128
Município;Penela;19974460
