Concelho;Regiao
Arcos de Valdevez;Alto Minho
Caminha;Alto Minho
Melgaço;Alto Minho
Monção;Alto Minho
Paredes de Coura;Alto Minho
Ponte da Barca;Alto Minho
Ponte de Lima;Alto Minho
Valença;Alto Minho
Viana do Castelo;Alto Minho
Vila Nova de Cerveira;Alto Minho
Amares;Cávado
Barcelos;Cávado
Braga;Cávado
Esposende;Cávado
Terras de Bouro;Cávado
Vila Verde;Cávado
Fafe;Ave
Guimarães;Ave
Póvoa de Lanhoso;Ave
Vieira do Minho;Ave
Vila Nova de Famalicão;Ave
Vizela;Ave
Gondomar;Área Metropolitana do Porto
Maia;Área Metropolitana do Porto
Matosinhos;Área Metropolitana do Porto
Porto;Área Metropolitana do Porto
Póvoa de Varzim;Área Metropolitana do Porto
Valongo;Área Metropolitana do Porto
Vila do Conde;Área Metropolitana do Porto
Vila Nova de Gaia;Área Metropolitana do Porto
Boticas;Alto Tâmega
Chaves;Alto Tâmega
Montalegre;Alto Tâmega
Ribeira de Pena;Alto Tâmega
Valpaços;Alto Tâmega
Vila Pouca de Aguiar;Alto Tâmega
Amarante;Tâmega e Sousa
Baião;Tâmega e Sousa
Felgueiras;Tâmega e Sousa
Lousada;Tâmega e Sousa
Marco de Canaveses;Tâmega e Sousa
Paços de Ferreira;Tâmega e Sousa
Paredes;Tâmega e Sousa
Penafiel;Tâmega e Sousa
Alijó;Douro
Armamar;Douro
Carrazeda de Ansiães;Douro
Freixo de Espada à Cinta;Douro
Lamego;Douro
Mesão Frio;Douro
Peso da Régua;Douro
Sabrosa;Douro
Santa Marta de Penaguião;Douro
São João da Pesqueira;Douro
Tabuaço;Douro
Torre de Moncorvo;Douro
Vila Nova de Foz Côa;Douro
Alfândega da Fé;Terras de Trás-os-Montes
Bragança;Terras de Trás-os-Montes
Macedo de Cavaleiros;Terras de Trás-os-Montes
Miranda do Douro;Terras de Trás-os-Montes
Mirandela;Terras de Trás-os-Montes
Mogadouro;Terras de Trás-os-Montes
Vila Flor;Terras de Trás-os-Montes
Vimioso;Terras de Trás-os-Montes
Vinhais;Terras de Trás-os-Montes
Alcobaça;Oeste
Alvaiázere;Oeste
Ansião;Oeste
Batalha;Oeste
Bombarral;Oeste
Caldas da Rainha;Oeste
Castanheira de Pêra;Oeste
Figueiró dos Vinhos;Oeste
Leiria;Oeste
Marinha Grande;Oeste
Nazaré;Oeste
